X;Y;osm_id;name;brand;operator;opening_hours;fuel_diesel;fuel_95;fuel_98;fuel_e10;fuel_gpl;com_insee;com_nom
2.2728354;48.8281142997349;node/1119984196;ESSO Express;Esso Express;;24/7;yes;;yes;yes;;75056;Paris
2.3604808;48.8168430997377;node/1172665573;Relais Total Porte D'Italie;;Total;24/7;yes;;yes;yes;;75056;Paris
2.3116861;48.8595019997272;node/1191594862;Total;Total;;24/7;yes;;yes;yes;;75056;Paris
2.3912112;48.8407840997318;node/1243135736;Total;Total;;24/7;yes;;yes;yes;;75056;Paris
2.3698437;48.8787211997224;node/1282166627;Esso Express;Esso Express;;24/7;yes;;yes;yes;;75056;Paris
2.3897622;48.8586302997274;node/1547720813;;;;;;;;;;75056;Paris
2.3896621;48.8580223997275;node/1547748415;Avia;;;;;;;;;75056;Paris
2.2775659;48.8364027997329;node/1568009842;BP;BP;British Petroleum;24/7;yes;;;yes;;75056;Paris
2.3835889;48.8558394997281;node/1747138950;;;;;;;;;;75056;Paris
2.3381834;48.8820593997215;node/1755343492;ELAN - relais Pigalle 2;;;;;;;;;75056;Paris
2.2908966;48.851998499729;node/1937157672;Total;Total;Total;;yes;yes;;;;75056;Paris
2.2892405;48.8656357997256;node/1987167009;;Elan;;24/7;yes;yes;yes;;;75056;Paris
2.3549221;48.8786754997224;node/1997748867;;;;;;;;;;75056;Paris
2.3640114;48.884149599721;node/2261671804;;Avia;;24/7;yes;yes;yes;;;75056;Paris
2.3589356;48.8973440997178;node/2330020597;;Esso;;24/7;yes;;yes;yes;;75056;Paris
2.3633779;48.8986958997174;node/2330020601;;;;;;;;;;75056;Paris
